epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.651,2.22367,2.75471,1.60002,0.40559,0.012,0.00226,0.0012,2.39854,5.309,1.45083,0.0903149,2.91429e-05,2.91429e-05
2,191.18,1.33139,1.38094,1.0933,0.42341,0.41248,0.36876,0.15164,2.01682,2.3087,1.27459,0.0803448,5.91287e-05,5.91287e-05
3,207.183,1.27157,1.26012,1.06577,0.53059,0.51331,0.50089,0.18863,2.57604,1.65438,1.54242,0.0703748,8.90575e-05,8.90575e-05
4,223.071,1.24144,1.22671,1.05335,0.54385,0.56416,0.54797,0.31957,1.6096,1.43462,1.08106,0.0604046,0.000118886,0.000118886
5,238.919,1.20378,1.19868,1.04201,0.50512,0.58575,0.57569,0.32318,1.70674,1.43704,1.11,0.0504343,0.000148572,0.000148572
6,254.103,1.19991,1.17802,1.03237,0.47349,0.61044,0.58358,0.2594,2.16118,2.7043,1.30063,0.0404638,0.000178073,0.000178073
7,269.09,1.14089,1.16788,1.01709,0.60016,0.57613,0.59932,0.13025,3.06686,1.50737,1.88888,0.0304931,0.000207346,0.000207346
8,283.78,1.12506,1.14362,1.00973,0.63936,0.60376,0.62603,0.28575,2.13807,1.39339,1.2671,0.0205221,0.00023635,0.00023635
9,298.592,1.14087,1.12595,1.01335,0.58167,0.58572,0.61226,0.3995,1.37333,1.41581,0.99045,0.0105508,0.000265042,0.000265042
10,313.366,1.14512,1.11386,1.01463,0.55519,0.57625,0.59019,0.31734,1.94857,1.53175,1.20984,0.000579096,0.000293382,0.000293382
11,328.273,1.12721,1.12583,1.01222,0.56285,0.55663,0.57336,0.37504,1.29743,1.4772,0.98352,0.000292879,0.000292879,0.000292879
12,342.957,1.11391,1.11071,1.00285,0.56247,0.60098,0.60356,0.40582,1.34267,1.45335,0.99481,0.000291398,0.000291398,0.000291398
13,357.957,1.12217,1.11124,1.00684,0.53708,0.56231,0.58754,0.38093,1.37544,1.42821,1.00126,0.000289782,0.000289782,0.000289782
14,372.729,1.08796,1.08451,0.9925,0.56536,0.58604,0.59581,0.37321,1.54031,1.41656,1.05328,0.000288033,0.000288033,0.000288033
15,387.423,1.08677,1.08257,0.99167,0.62418,0.59006,0.60805,0.38797,1.38034,1.3257,1.00855,0.000286152,0.000286152,0.000286152
16,402.095,1.07942,1.06563,0.99186,0.63142,0.61348,0.62415,0.41385,1.30004,1.30699,0.97906,0.000284141,0.000284141,0.000284141
17,417.216,1.07551,1.04489,0.98962,0.5633,0.61096,0.59758,0.33596,1.75163,1.37229,1.12149,0.000282003,0.000282003,0.000282003
18,432.018,1.05466,1.05051,0.98124,0.54929,0.64517,0.6,0.42305,1.13818,1.32481,0.94093,0.000279738,0.000279738,0.000279738
