epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.815,2.24667,2.80651,1.61348,0.38754,0.01706,0.20036,0.03066,3.13745,5.11783,1.92689,0.0903149,2.91429e-05,2.91429e-05
2,230.96,1.32175,1.38443,1.08867,0.6164,0.35549,0.41919,0.11642,2.73458,2.33528,1.70115,0.0803448,5.91287e-05,5.91287e-05
3,269.732,1.25692,1.25595,1.06142,0.59167,0.50535,0.54474,0.2493,2.28414,1.899,1.36354,0.0703748,8.90575e-05,8.90575e-05
4,307.548,1.23964,1.23787,1.05051,0.56451,0.5172,0.54144,0.27773,1.81524,1.67685,1.14864,0.0604046,0.000118886,0.000118886
5,345.728,1.17604,1.18471,1.03194,0.75141,0.49974,0.59494,0.38189,1.30067,1.51725,0.98971,0.0504343,0.000148572,0.000148572
6,382.799,1.2031,1.18444,1.03401,0.4663,0.59349,0.56431,0.29928,1.97149,1.78672,1.20558,0.0404638,0.000178073,0.000178073
7,419.446,1.1419,1.16598,1.01811,0.57199,0.62029,0.60011,0.41027,1.20824,1.29679,0.96019,0.0304931,0.000207346,0.000207346
8,456.25,1.13917,1.13999,1.01335,0.55682,0.59896,0.59547,0.32081,1.84341,1.42652,1.16114,0.0205221,0.00023635,0.00023635
9,492.904,1.12818,1.12045,1.00994,0.5674,0.56422,0.59458,0.37255,1.41306,1.43464,1.0104,0.0105508,0.000265042,0.000265042
10,529.43,1.11224,1.10996,1.00293,0.56815,0.57134,0.59265,0.39144,1.34762,1.51479,0.99706,0.000579096,0.000293382,0.000293382
11,566.181,1.12499,1.11596,1.01243,0.52669,0.58441,0.59155,0.37747,1.25796,1.35991,0.95779,0.000292879,0.000292879,0.000292879
12,602.912,1.12436,1.10747,1.00665,0.5871,0.5948,0.60538,0.43121,1.19813,1.28983,0.95474,0.000291398,0.000291398,0.000291398
13,639.862,1.09449,1.09624,0.99702,0.50172,0.57539,0.59618,0.32862,1.74458,1.39866,1.122,0.000289782,0.000289782,0.000289782
14,676.357,1.08831,1.09235,0.99266,0.59028,0.59345,0.60968,0.40542,1.34873,1.34374,1.00186,0.000288033,0.000288033,0.000288033
15,713.111,1.08869,1.07724,0.99196,0.64309,0.57989,0.60871,0.39638,1.42179,1.37191,1.01861,0.000286152,0.000286152,0.000286152
16,749.806,1.08506,1.06809,0.99286,0.60684,0.59613,0.62925,0.32511,1.87986,1.36763,1.17106,0.000284141,0.000284141,0.000284141
17,786.482,1.07017,1.0454,0.98825,0.58259,0.58057,0.59409,0.41903,1.16797,1.2731,0.94586,0.000282003,0.000282003,0.000282003
18,823.203,1.05027,1.05068,0.98049,0.5665,0.57991,0.59111,0.41619,1.20355,1.3934,0.96032,0.000279738,0.000279738,0.000279738
19,860.067,1.08237,1.04677,0.989,0.58055,0.62273,0.60807,0.39069,1.3628,1.34447,1.0014,0.00027735,0.00027735,0.00027735
20,896.716,1.0575,1.02024,0.97968,0.50283,0.57498,0.56894,0.37541,1.30007,1.44576,0.98392,0.00027484,0.00027484,0.00027484
21,933.417,1.03944,1.00213,0.97535,0.5565,0.59242,0.58701,0.25563,2.2078,1.5141,1.31474,0.000272212,0.000272212,0.000272212
22,970.093,1.02355,0.98729,0.97298,0.60999,0.56671,0.60684,0.3797,1.44782,1.34306,1.02737,0.000269468,0.000269468,0.000269468
23,1006.77,1.04298,1.00565,0.97554,0.55557,0.57693,0.5685,0.20173,2.52224,1.73004,1.48598,0.00026661,0.00026661,0.00026661
24,1043.31,1.01614,0.98948,0.96777,0.61094,0.51286,0.57361,0.38902,1.28326,1.51659,0.99948,0.000263641,0.000263641,0.000263641
25,1080.05,1.06747,0.998,0.98015,0.65556,0.58833,0.60908,0.409,1.22291,1.39039,0.95398,0.000260565,0.000260565,0.000260565
26,1116.73,1.01275,0.95791,0.96528,0.63144,0.58889,0.60736,0.44178,1.08269,1.25338,0.9246,0.000257384,0.000257384,0.000257384
27,1153.63,1.01016,0.96127,0.96529,0.59953,0.57126,0.59898,0.37233,1.49145,1.43219,1.03369,0.000254102,0.000254102,0.000254102
28,1190.13,0.9911,0.94262,0.9573,0.58217,0.60798,0.60131,0.35564,1.62082,1.34792,1.08161,0.000250721,0.000250721,0.000250721
29,1226.85,0.99871,0.95228,0.95868,0.60985,0.55673,0.59687,0.40203,1.35159,1.43325,0.9952,0.000247245,0.000247245,0.000247245
30,1263.4,0.97981,0.92799,0.9518,0.59236,0.5715,0.58495,0.37018,1.37925,1.58821,1.00836,0.000243678,0.000243678,0.000243678
31,1300.04,0.97627,0.93612,0.95117,0.64059,0.57183,0.59355,0.31613,1.95015,1.4541,1.21577,0.000240023,0.000240023,0.000240023
32,1336.67,0.96598,0.91032,0.94838,0.62371,0.56415,0.61193,0.40057,1.42694,1.32606,1.0223,0.000236283,0.000236283,0.000236283
33,1373.24,0.96638,0.89544,0.94825,0.56655,0.51514,0.56938,0.39542,1.24485,1.61751,0.96121,0.000232463,0.000232463,0.000232463
34,1409.79,0.98785,0.89317,0.95495,0.62792,0.58664,0.59787,0.38107,1.45003,1.40439,1.02564,0.000228566,0.000228566,0.000228566
35,1446.36,0.98043,0.87241,0.94937,0.65362,0.48706,0.5539,0.37788,1.32346,1.62677,0.99562,0.000224595,0.000224595,0.000224595
